       mouse_id    date        type   target
0    AAA1110750  210708  neuropixel  CUN/GRN
1    AAA1110751  210520  neuropixel  CUN/GRN
2    BAA1100516  211014  neuropixel  CUN/GRN
3    BAA1100517  211202  neuropixel  CUN/GRN
4     BAA110516  211014  neuropixel  CUN/GRN
5     BAA110517  211202  neuropixel  CUN/GRN
6   BAA11100516  211014  neuropixel  CUN/GRN
7   BAA11100517  211202  neuropixel  CUN/GRN
8    BAA1110279  210907  neuropixel  CUN/GRN
9    BAA1110281  210813  neuropixel  CUN/GRN
10   BAA1110516  211014  neuropixel  CUN/GRN
11   BAA1110517  211202  neuropixel  CUN/GRN
