      mouse_id                               name  unit_id  site_id                                                                              secondary_sites_ids
0   AAA1110750  FC_210713_AAA1110750_r3_openarena        1        2                                  [2, 4, 6, 8, 10, 12, 14, 16, 371, 373, 375, 377, 379, 381, 383]
1   AAA1110750  FC_210713_AAA1110750_r3_openarena       22       10                                          [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 379, 381, 383]
2   AAA1110750  FC_210713_AAA1110750_r3_openarena       23       10                             [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 377, 379, 381, 383]
3   AAA1110750  FC_210713_AAA1110750_r3_openarena       41       18                                        [4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32]
4   AAA1110750  FC_210713_AAA1110750_r3_openarena      106       37                                                         [25, 29, 31, 33, 35, 37, 39, 41, 43, 45]
5   AAA1110750  FC_210713_AAA1110750_r3_openarena      108       37                                                                                 [33, 35, 37, 41]
6   AAA1110750  FC_210713_AAA1110750_r3_openarena      117       41                                                                         [37, 39, 41, 43, 45, 47]
7   AAA1110750  FC_210713_AAA1110750_r3_openarena      133       45                                                                                 [41, 43, 45, 47]
8   AAA1110750  FC_210713_AAA1110750_r3_openarena      152       50                                             [34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 60]
9   AAA1110750  FC_210713_AAA1110750_r3_openarena      160       52                                                 [40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 64]
10  AAA1110750  FC_210713_AAA1110750_r3_openarena      177       57                                                                     [49, 53, 55, 57, 59, 61, 63]
11  AAA1110750  FC_210713_AAA1110750_r3_openarena      190       61                                                                 [53, 55, 57, 59, 61, 63, 65, 67]
12  AAA1110750  FC_210713_AAA1110750_r3_openarena      206       66                                                             [56, 58, 60, 62, 64, 66, 68, 70, 72]
13  AAA1110750  FC_210713_AAA1110750_r3_openarena      219       68                                                                                     [64, 66, 68]
14  AAA1110750  FC_210713_AAA1110750_r3_openarena      315       98                                      [82, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112]
15  AAA1110750  FC_210713_AAA1110750_r3_openarena      321      100                                       [82, 84, 90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110]
16  AAA1110750  FC_210713_AAA1110750_r3_openarena      332      102                                                       [94, 96, 98, 100, 102, 104, 106, 108, 112]
17  AAA1110750  FC_210713_AAA1110750_r3_openarena      341      105                                                 [97, 99, 101, 103, 105, 107, 109, 111, 113, 115]
18  AAA1110750  FC_210713_AAA1110750_r3_openarena      347      106                                                                    [98, 100, 102, 106, 108, 110]
19  AAA1110750  FC_210713_AAA1110750_r3_openarena      349      106                           [90, 92, 94, 96, 98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 118]
20  AAA1110750  FC_210713_AAA1110750_r3_openarena      351      107                           [91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119]
21  AAA1110750  FC_210713_AAA1110750_r3_openarena      354      109         [87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123]
22  AAA1110750  FC_210713_AAA1110750_r3_openarena      365      114                                          [102, 106, 108, 110, 112, 114, 116, 118, 120, 122, 126]
23  AAA1110750  FC_210713_AAA1110750_r3_openarena      366      115     [95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 131]
24  AAA1110750  FC_210713_AAA1110750_r3_openarena      412      131                 [115, 117, 119, 121, 123, 125, 127, 129, 131, 133, 135, 137, 139, 141, 143, 145]
25  AAA1110750  FC_210713_AAA1110750_r3_openarena      418      133                                          [123, 125, 127, 129, 131, 133, 135, 137, 139, 141, 143]
26  AAA1110750  FC_210713_AAA1110750_r3_openarena      424      135                                               [125, 127, 129, 131, 133, 135, 137, 139, 141, 143]
27  AAA1110750  FC_210713_AAA1110750_r3_openarena      443      139                                     [125, 127, 129, 131, 133, 135, 137, 139, 141, 143, 145, 149]
28  AAA1110750  FC_210713_AAA1110750_r3_openarena      480      149                                                                             [143, 145, 147, 149]
29  AAA1110750  FC_210713_AAA1110750_r3_openarena      482      149                                                                             [139, 145, 147, 149]
