       mouse_id                               name  n_frames  duration  n_analog_channels  bonsai_cut_start  bonsai_cut_end  ephys_cut_start  ephys_time_scaling_factor
0    AAA1110750               FC_210322_AAA1110750     36516       609                  4             11192           11692               -1                   -1.00000
1    AAA1110750              FC_210322_AAA1110750t       510         8                  4             13664           14164               -1                   -1.00000
2    AAA1110750            FC_210323_AAA1110750_d1    171516      2859                  3             11498           11998               -1                   -1.00000
3    AAA1110750            FC_210324_AAA1110750_d1     74958      1249                  3             14587           15087               -1                   -1.00000
4    AAA1110750         FC_210324_AAA1110750_d1_p2     84162      1403                  3             12484           12984               -1                   -1.00000
5    AAA1110750            FC_210325_AAA1110750_d2    214332      3572                  3             12569           13069               -1                   -1.00000
6    AAA1110750         FC_210325_AAA1110750_d2_p2     37434       624                  3             14030           14530               -1                   -1.00000
7    AAA1110750            FC_210326_AAA1110750_d3    176082      2935                  3             14130           14630               -1                   -1.00000
8    AAA1110750            FC_210327_AAA1110750_d4    191748      3196                  3             13648           14148               -1                   -1.00000
9    AAA1110750            FC_210331_AAA1110750_d5    258696      4312                  3             11144           11644               -1                   -1.00000
10   AAA1110750            FC_210401_AAA1110750_d6    206250      3437                  3             14108           14608               -1                   -1.00000
11   AAA1110750            FC_210402_AAA1110750_d7    194094      3235                  3             13833           14333               -1                   -1.00000
12   AAA1110750            FC_210405_AAA1110750_d8    196764      3279                  3             11011           11511               -1                   -1.00000
13   AAA1110750          FC_210405_AAA1110750_d8_t      7530       125                  3             10464           10964               -1                   -1.00000
14   AAA1110750            FC_210408_AAA1110750_d9    198384      3306                  3             10841           11341               -1                   -1.00000
15   AAA1110750           FC_210412_AAA1110750_d10    220524      3675                  3             13730           14230               -1                   -1.00000
16   AAA1110750         FC_210412_AAA1110750_d10_t      9408       157                  3             13934           14434               -1                   -1.00000
17   AAA1110750           FC_210413_AAA1110750_d11    220488      3675                  3             10997           11497               -1                   -1.00000
18   AAA1110750           FC_210420_AAA1110750_d12     80178      1336                  3             10399           10899               -1                   -1.00000
19   AAA1110750           FC_210427_AAA1110750_d13    156510      2608                  3             10915           11415               -1                   -1.00000
20   AAA1110750           FC_210430_AAA1110750_d14    142920      2382                  3             13785           14285               -1                   -1.00000
21   AAA1110750           FC_210506_AAA1110750_d15    133902      2232                  4             10999           11499               -1                   -1.00000
22   AAA1110750           FC_210512_AAA1110750_d16    164892      2748                  4             11108           11608               -1                   -1.00000
23   AAA1110750           FC_210514_AAA1110750_d17    260760      4346                  4             10833           11333               -1                   -1.00000
24   AAA1110750           FC_210514_AAA1110750_d18    163194      2720                  4             11045           11545               -1                   -1.00000
25   AAA1110750           FC_210528_AAA1110750_d19    144888      2415                  4             10653           11153               -1                   -1.00000
26   AAA1110750           FC_210616_AAA1110750_d24    214284      3571                  4             10951           11451               -1                   -1.00000
27   AAA1110750      FC_210710_AAA1110750_d24_r1_b     36810       613                  4             10769           11269               -1                   -1.00000
28   AAA1110750      FC_210710_AAA1110750_d24_r1_c     53634       894                  4             11117           11617               -1                   -1.00000
29   AAA1110750            FC_210712_AAA1110750_r2     99204      1653                  4             10838           11338               -1                   -1.00000
30   AAA1110750          FC_210712_AAA1110750_r2_b    104106      1735                  4              7919            8419               -1                   -1.00000
31   AAA1110750  FC_210713_AAA1110750_r3_openarena    235248      3921                  4             11019           11519            30000                    1.00009
32   AAA1110750    FC_210714_AAA1110750_r4_hairpin    239664      3994                  4             10858           11358            30000                    1.00009
33   AAA1110750    FC_210715_AAA1110750_r5_hairpin    314256      5238                  4             11108           11608            30000                    1.00009
34   AAA1110750    FC_210716_AAA1110750_r6_hairpin    215358      3589                  4             10614           11114            30000                    1.00009
35   AAA1110750       FC_210720_AAA1110750_hairpin    209238      3487                  4             10717           11217            30000                    1.00009
36   AAA1110750     FC_210720_AAA1110750_openarena    162246      2704                  4              7851            8351            30000                    1.00009
37   AAA1110750       FC_210721_AAA1110750_hairpin    264726      4412                  4             11066           11566            30000                    1.00009
38   AAA1110750       FC_210722_AAA1110750_hairpin    147558      2459                  4              7920            8420            30000                    1.00009
39   AAA1110750     FC_210722_AAA1110750_openarena    126234      2104                  4             11053           11553            30000                    1.00009
40   AAA1110750       FC_210723_AAA1110750_hairpin    206436      3441                  4             10923           11423               -1                   -1.00000
41   AAA1110751            FC_210323_AAA1110751_d1    109056      1818                  3             11646           12146               -1                   -1.00000
42   AAA1110751            FC_210324_AAA1110751_d1    208926      3482                  3             13851           14351               -1                   -1.00000
43   AAA1110751            FC_210325_AAA1110751_d2    282120      4702                  3             11089           11589               -1                   -1.00000
44   AAA1110751            FC_210326_AAA1110751_d3    263298      4388                  3             13890           14390               -1                   -1.00000
45   AAA1110751            FC_210327_AAA1110751_d4    207504      3458                  3             14013           14513               -1                   -1.00000
46   AAA1110751            FC_210331_AAA1110751_d5    164124      2735                  3             10733           11233               -1                   -1.00000
47   AAA1110751            FC_210401_AAA1110751_d6    219462      3658                  3             13996           14496               -1                   -1.00000
48   AAA1110751            FC_210402_AAA1110751_d7    213030      3550                  3             10762           11262               -1                   -1.00000
49   AAA1110751            FC_210405_AAA1110751_d8    188178      3136                  3             14203           14703               -1                   -1.00000
50   AAA1110751            FC_210408_AAA1110751_d9    229584      3826                  3             11114           11614               -1                   -1.00000
51   AAA1110751           FC_210412_AAA1110751_d10    219324      3655                  3             10944           11444               -1                   -1.00000
52   AAA1110751           FC_210413_AAA1110751_d11    223026      3717                  3             13081           13581               -1                   -1.00000
53   AAA1110751           FC_210420_AAA1110751_d12    150870      2514                  3             13687           14187               -1                   -1.00000
54   AAA1110751           FC_210427_AAA1110751_d13    187878      3131                  3             14129           14629               -1                   -1.00000
55   AAA1110751           FC_210430_AAA1110751_d14    162408      2707                  3             14128           14628               -1                   -1.00000
56   AAA1110751           FC_210506_AAA1110751_d15    162234      2704                  4              7709            8209               -1                   -1.00000
57   AAA1110751           FC_210512_AAA1110751_d16    173808      2897                  4              8162            8662               -1                   -1.00000
58   AAA1110751           FC_210514_AAA1110751_d17    248040      4134                  4             11004           11504               -1                   -1.00000
59   AAA1110751           FC_210514_AAA1110751_d18    188106      3135                  4              8119            8619               -1                   -1.00000
60   AAA1110751           FC_210528_AAA1110751_d19    197046      3284                  4             10864           11364               -1                   -1.00000
61   AAA1110751          FC_210603_AAA1110751_d22r    273918      4565                  4             10940           11440               -1                   -1.00000
62   AAA1110751           FC_210604_AAA1110751_d23    321540      5359                  4              7938            8438               -1                   -1.00000
63   AAA1110752            FC_210323_AAA1110752_d1    128706      2145                  3             11421           11921               -1                   -1.00000
64   AAA1110752            FC_210324_AAA1110752_d1    195702      3262                  3             11124           11624               -1                   -1.00000
65   AAA1110752            FC_210325_AAA1110752_d2    218478      3641                  3             13997           14497               -1                   -1.00000
66   AAA1110752            FC_210326_AAA1110752_d3    215652      3594                  3             14090           14590               -1                   -1.00000
67   AAA1110752            FC_210327_AAA1110752_d4    224670      3744                  3             10864           11364               -1                   -1.00000
68   AAA1110752            FC_210331_AAA1110752_d5    162720      2712                  3             10991           11491               -1                   -1.00000
69   AAA1110752            FC_210401_AAA1110752_d6    190344      3172                  3             10652           11152               -1                   -1.00000
70   AAA1110752            FC_210402_AAA1110752_d7    199320      3322                  3             10918           11418               -1                   -1.00000
71   AAA1110752            FC_210405_AAA1110752_d8    226662      3778                  3             10442           10942               -1                   -1.00000
72   AAA1110752            FC_210408_AAA1110752_d9    287946      4799                  3             10931           11431               -1                   -1.00000
73   AAA1110752           FC_210412_AAA1110752_d10    244806      4080                  3             10865           11365               -1                   -1.00000
74   AAA1110752           FC_210413_AAA1110752_d11    158088      2635                  3             10990           11490               -1                   -1.00000
75   AAA1110752           FC_210420_AAA1110752_d12    121488      2025                  3             10845           11345               -1                   -1.00000
76   AAA1110752           FC_210430_AAA1110752_d14    135186      2253                  3             11037           11537               -1                   -1.00000
77   AAA1110752           FC_210512_AAA1110752_d16    197580      3293                  4             11165           11665               -1                   -1.00000
78   AAA1110752           FC_210514_AAA1110752_d17    196548      3276                  4              7730            8230               -1                   -1.00000
79   AAA1110752           FC_210514_AAA1110752_d18    119346      1989                  4              7955            8455               -1                   -1.00000
80   AAA1110752           FC_210528_AAA1110752_d19    228096      3802                  4              8147            8647               -1                   -1.00000
81   AAA1110752           FC_210616_AAA1110752_d24    115014      1917                  4              7941            8441               -1                   -1.00000
82   AAA1110752          FC_210616_AAA1110752_d24b    190224      3170                  4              7971            8471               -1                   -1.00000
83   AAA1110757            FC_210420_AAA1110757_d0    147438      2457                  3             11431           11931               -1                   -1.00000
84   AAA1110757            FC_210421_AAA1110757_d1    255696      4262                  3             11537           12037               -1                   -1.00000
85   AAA1110757          FC_210422_AAA1110757_d2_b    322098      5368                  3             11133           11633               -1                   -1.00000
86   AAA1110757            FC_210423_AAA1110757_d3    259452      4324                  3             10922           11422               -1                   -1.00000
87   AAA1110757            FC_210427_AAA1110757_d3    230028      3834                  3             11185           11685               -1                   -1.00000
88   AAA1110757            FC_210428_AAA1110757_d4    332220      5537                  3             10877           11377               -1                   -1.00000
89   AAA1110757       FC_210430_AAA1110757_d_cable    161562      2693                  3             11043           11543               -1                   -1.00000
90   BAA1110279   FC_210803_BAA1110279_training_d1    183480      3058                  4              8104            8604               -1                   -1.00000
91   BAA1110279   FC_210804_BAA1110279_training_d2    167802      2797                  4             10939           11439               -1                   -1.00000
92   BAA1110279       FC_210831_BAA1110279_hairpin    231540      3859                  4             11195           11695               -1                   -1.00000
93   BAA1110279       FC_210903_BAA1110279_hairpin    452010      7533                  4             10738           11238               -1                   -1.00000
94   BAA1110279       FC_210910_BAA1110279_hairpin    138714      2312                  4              7978            8478               -1                   -1.00000
95   BAA1110279       FC_210914_BAA1110279_hairpin    550470      9174                  4              7863            8363               -1                   -1.00000
96   BAA1110279       FC_210916_BAA1110279_hairpin    221292      3688                  4              7953            8453               -1                   -1.00000
97   BAA1110279       FC_210917_BAA1110279_hairpin    248214      4137                  4              8142            8642            30000                    1.00014
98   BAA1110280   FC_210802_BAA1110280_training_d0     93546      1559                  4             11080           11580               -1                   -1.00000
99   BAA1110280   FC_210803_BAA1110280_training_d1    205140      3419                  4              8091            8591               -1                   -1.00000
100  BAA1110280   FC_210804_BAA1110280_training_d2    225852      3764                  4              8176            8676               -1                   -1.00000
101  BAA1110280   FC_210806_BAA1110280_training_d2    436308      7272                  4             10642           11142               -1                   -1.00000
102  BAA1110281   FC_210802_BAA1110281_training_d0    236046      3934                  4              7906            8406               -1                   -1.00000
103  BAA1110281   FC_210803_BAA1110281_training_d1    140670      2344                  4             11144           11644               -1                   -1.00000
104  BAA1110281   FC_210804_BAA1110281_training_d2    195942      3266                  4             10823           11323               -1                   -1.00000
105  BAA1110281   FC_210806_BAA1110281_training_d3    424854      7081                  4              8062            8562               -1                   -1.00000
106  BAA1110281     FC_210816_BAA1110281_openarena    173958      2899                  4              7825            8325               -1                   -1.00000
107  BAA1110281     FC_210817_BAA1110281_openarena    473814      7897                  4             10672           11172               -1                   -1.00000
108  BAA1110281     FC_210818_BAA1110281_openarena    224184      3736                  4             11036           11536            30000                    1.00009
109  BAA1110281       FC_210820_BAA1110281_hairpin    126288      2105                  4              8182            8682            30000                    1.00009
110  BAA1110281     FC_210820_BAA1110281_openarena    199278      3321                  4             10872           11372            30000                    1.00009
111  BAA1110281       FC_210829_BAA1110281_hairpin    183864      3064                  4              7958            8458            30000                    1.00009
112  BAA1110281     FC_210829_BAA1110281_openarena     71202      1187                  4              8143            8643            30000                    1.00009
113  BAA1110281       FC_210830_BAA1110281_hairpin    310206      5170                  4              8224            8724            30000                    1.00009
114  BAA1110281     FC_210830_BAA1110281_openarena    151008      2517                  4              8154            8654            30000                    1.00009
115  BAA1110281       FC_210831_BAA1110281_hairpin    225912      3765                  4             11073           11573            30000                    1.00009
116  BAA1110281       FC_210901_BAA1110281_hairpin    293574      4893                  4              9711           10211            30000                    1.00013
117  BAA1110281     FC_210901_BAA1110281_openarena    170382      2840                  4              7987            8487            30000                    1.00009
118  BAA1110281       FC_210906_BAA1110281_hairpin    178266      2971                  4              7998            8498            30000                    1.00009
119  BAA1110281       FC_210914_BAA1110281_hairpin    184698      3078                  4              8159            8659               -1                   -1.00000
120  BAA1110281       FC_210915_BAA1110281_hairpin    282558      4709                  4             10877           11377            30000                    1.00009
121  BAA1110281       FC_210916_BAA1110281_hairpin    138528      2309                  4             11152           11652               -1                   -1.00000
122  BAA1110281       FC_210917_BAA1110281_hairpin    167562      2793                  4              7882            8382            30000                    1.00009
123  BAA1110282   FC_210802_BAA1110282_training_d0    108654      1811                  4             11132           11632               -1                   -1.00000
124  BAA1110282   FC_210803_BAA1110282_training_d1     92352      1539                  4             11109           11609               -1                   -1.00000
125  BAA1110282   FC_210804_BAA1110282_training_d2    137802      2297                  4             11064           11564               -1                   -1.00000
