       mouse_id                               name  unit_id  site_id                                                                                             secondary_sites_ids
0    AAA1110750  FC_210713_AAA1110750_r3_openarena        1        2                                                 [2, 4, 6, 8, 10, 12, 14, 16, 371, 373, 375, 377, 379, 381, 383]
1    AAA1110750    FC_210714_AAA1110750_r4_hairpin        6        2                                                 [2, 4, 6, 8, 10, 12, 14, 16, 371, 373, 375, 377, 379, 381, 383]
2    AAA1110750    FC_210714_AAA1110750_r4_hairpin        9        2                                                 [2, 4, 6, 8, 10, 12, 14, 16, 371, 373, 375, 377, 379, 381, 383]
3    AAA1110750  FC_210713_AAA1110750_r3_openarena       22       10                                                         [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 379, 381, 383]
4    AAA1110750  FC_210713_AAA1110750_r3_openarena       23       10                                            [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 377, 379, 381, 383]
5    AAA1110750    FC_210714_AAA1110750_r4_hairpin       28       10                                  [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 373, 375, 377, 379, 381, 383]
6    AAA1110750    FC_210714_AAA1110750_r4_hairpin       30       10                                                     [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 379, 381, 383]
7    AAA1110750  FC_210713_AAA1110750_r3_openarena       41       18                                                       [4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32]
8    AAA1110750    FC_210714_AAA1110750_r4_hairpin       66       18                                                       [4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32]
9    AAA1110750    FC_210714_AAA1110750_r4_hairpin       94       24                                                          [6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32]
10   AAA1110750    FC_210714_AAA1110750_r4_hairpin       95       24                         [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 379, 381, 383]
11   AAA1110750    FC_210714_AAA1110750_r4_hairpin      129       33                      [1, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]
12   AAA1110750  FC_210713_AAA1110750_r3_openarena      106       37                                                                        [25, 29, 31, 33, 35, 37, 39, 41, 43, 45]
13   AAA1110750  FC_210713_AAA1110750_r3_openarena      108       37                                                                                                [33, 35, 37, 41]
14   AAA1110750    FC_210714_AAA1110750_r4_hairpin      142       37                                                        [23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 53]
15   AAA1110750  FC_210713_AAA1110750_r3_openarena      117       41                                                                                        [37, 39, 41, 43, 45, 47]
16   AAA1110750    FC_210714_AAA1110750_r4_hairpin      158       42                                                        [22, 26, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52]
17   AAA1110750  FC_210713_AAA1110750_r3_openarena      133       45                                                                                                [41, 43, 45, 47]
18   AAA1110750    FC_210714_AAA1110750_r4_hairpin      169       45                                                        [31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 57]
19   AAA1110750    FC_210714_AAA1110750_r4_hairpin      176       46                            [18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58]
20   AAA1110750  FC_210713_AAA1110750_r3_openarena      152       50                                                            [34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 60]
21   AAA1110750    FC_210714_AAA1110750_r4_hairpin      190       50                                                                                        [44, 46, 48, 50, 52, 54]
22   AAA1110750    FC_210714_AAA1110750_r4_hairpin      191       50                                                                    [36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56]
23   AAA1110750    FC_210714_AAA1110750_r4_hairpin      194       51                                                                                        [45, 47, 49, 51, 53, 57]
24   AAA1110750  FC_210713_AAA1110750_r3_openarena      160       52                                                                [40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 64]
